TowNum,Tow_Firm,Tow_Firm_Address,Tow_Firm_Phone,Vehicle_State,Vehicle_Plate,Vehicle_Year,Make,Model,Color,Tow_From_Address,Date,Time,geom
357355,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AN40290,2002,TOYOTA,CAMRY,WHITE,,12082018,0109,"(41.7436653536885, -72.6830482671389)"
357356,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,644ZWG,2002,FORD,EXPLORER S,GREEN,,12082018,0111,"(41.7436653536885, -72.6830482671389)"
357358,,,860-947-3062,CT,AJ93047,2014,TOYOTA,CAMRY,GRAY,,12082018,0209,"(41.7541812619456, -72.6831701840886)"
357359,,,860-947-3062,CT,10016,2004,HONDA,ACCORD,SILVER,,12082018,0212,"(41.7470728300187, -72.6788565151533)"
357357,,,860-947-3062,MA,549ZM9,2006,FORD,EXPLORER,GRAY,,12082018,0206,"(41.737397025547, -72.6708791795093)"
357366,,,860-947-3062,,,2000,MAZDA,MPV,GREEN,,12082018,0621,"(41.7455670324018, -72.6828360634386)"
357363,,,860-947-3062,CT,AH69302,2017,TOYOTA,CAMRY,WHITE,,12082018,0612,"(41.7547739446338, -72.6705692506838)"
357364,,,860-947-3062,CT,AM88858,2017,TOYOTA,CAMRY,GRAY,,12082018,0614,"(41.77159955912, -72.6901481263552)"
357365,,,860-947-3062,CT,AH96203,2013,KIA,SOUL,WHITE,,12082018,0616,"(41.7939568886989, -72.68256987285)"
357362,,,860-947-3062,CY,AL43437,2001,FORD,SPORT,RED,,12082018,0609,"(41.7709037617568, -72.6906967053311)"
357369,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,1987,HONDA,ACCORD,TAN,,12082018,0912,"(41.7582792591182, -72.6911952354785)"
357370,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AH22103,2007,FORD,FOCUS,GRAY,,12082018,0940,"(41.7568045332103, -72.7014395630237)"
357372,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AE90149,2007,AUDI,A4,TAN,,12082018,1039,"(41.758814911207, -72.6856057457429)"
357373,CROSS COUNTRY TOWING,"100 AIRPORT RD. HARTFORD, CT. 06114",860-296-2826,CT,648ZAY,2007,TOYOTA,TUNDRA,GRAY,,12082018,1127,"(41.7408802310956, -72.6975508687592)"
357374,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2001,HONDA,ACCORD,GRAY,,12082018,1146,"(41.7580194378662, -72.6936191875176)"
357375,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,2006,NISSAN,MAXIMA,GRAY,,12082018,1149,"(41.7572466373843, -72.6819662410732)"
357376,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AL72981,2016,TOYOTA,TUNDRA,WHITE,,12082018,1155,"(41.7359621646086, -72.7079323465196)"
357377,,,860-296-9663,CT,AP45165,2003,BUICK,REGAL,WHITE,,12082018,1231,"(41.7414359322708, -72.6757978833565)"
357378,,,860-296-9663,CT,AR97416,2004,ACURA,TL,BLACK,,12082018,1234,"(41.7818948857717, -72.6745668384406)"
357379,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2006,MERCURY,MARINER,PURPLE,,12082018,1328,"(41.7581567224715, -72.6866965210425)"
357380,,,860-296-1518,,,2005,BUICK,RENDEZIVOU,WHITE,,12082018,1339,"(41.7617042126954, -72.688148469341)"
357367,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,5ARKN5,2012,SUBARU,FORESTER,BLACK,,12082018,0734,"(41.7263786777562, -72.6993295547252)"
357381,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,112XET,1997,TOYOTA,AVALON,GREEN,,12082018,1435,"(41.7717333602307, -72.7015717706442)"
357368,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,AL11221,2015,ACURA,MDX,GRAY,,12082018,0818,"(41.7545682241205, -72.666580937921)"
357385,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,9AUAB1,2012,NISSAN,MAX,GRY,,12082018,1647,"(41.7584278610769, -72.6825958331737)"
357382,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AL81049,2003,ACURA,3.2CL,BLACK,,12082018,1556,"(41.7725723176128, -72.6967170849092)"
357383,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,AA62389,2012,NISSAN,MAXIMA,BLUE,,12082018,1603,"(41.7700997978816, -72.6748160203001)"
357384,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,NY,JAD1096,2018,HONDA,CIVIC,BLK,,12082018,1605,"(41.7700997978816, -72.6748160203001)"
357386,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2005,NISSAN,MURANO,BLK,,12082018,1826,"(41.7692826952299, -72.6971182835105)"
357392,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,6ASVB6,2014,NISSAN,SENTRA,RED,,12082018,2029,"(41.766491340676, -72.7106243127497)"
357391,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2004,LAND ROVER,RANGE,RED,,12082018,2012,"(41.75157947176, -72.683576783864)"
357387,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AJ88276,2015,HONDA,CIVIC,RED,,12082018,1855,"(41.7765722398571, -72.6769421064156)"
357393,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,C055637,2016,FORD,F150,RED,,12082018,2145,"(41.7581520680053, -72.6857724127557)"
357390,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,AC86524,2014,KIA,OPTIM,WHITE,,12082018,2002,"(41.7606518250486, -72.6881882124485)"
